W,L,PCT,GB,DIV,CONF,HOME_WINS,HOME_LOSS,AWAY_WINS,AWAY_LOSS
64,18,.780,-,15-2,41-11,37,4,27,14
57,25,.695,-,12-4,36-16,33,8,24,17
57,25,.695,-,10-6,33-19,33,8,24,17
49,33,.598,15,10-7,34-18,31,11,18,22
56,26,.683,1,12-4,37-15,30,11,26,15
47,35,.573,17,9-7,32-20,29,12,18,23
47,35,.573,10,7-10,27-25,28,14,19,21
50,32,.610,14,12-5,35-17,27,14,23,18
41,41,.500,16,9-7,28-24,27,14,14,27
48,34,.585,16,11-5,31-21,26,15,22,19
47,35,.573,17,11-6,32-20,26,15,21,20
47,35,.573,17,8-8,31-21,25,16,22,19
51,31,.622,6,9-7,30-22,25,16,26,15
50,32,.610,7,11-5,31-21,25,16,25,16
49,33,.598,8,9-9,29-23,25,16,24,17
46,36,.561,11,10-7,30-22,24,17,22,19
46,36,.561,18,13-3,32-20,22,19,24,17
36,46,.439,28,8-8,22-30,21,20,15,26
46,36,.561,11,7-9,26-26,21,20,25,16
31,51,.378,26,5-11,16-36,21,20,10,31
49,33,.598,8,9-7,30-22,21,19,28,14
39,43,.476,25,7-9,22-29,20,21,19,22
32,50,.390,32,5-11,24-28,20,21,12,29
25,57,.305,39,1-15,18-34,14,27,11,30
22,60,.268,35,3-13,14-37,12,29,10,31
21,61,.256,43,6-10,14-38,11,30,10,31
21,61,.256,36,1-15,8-44,11,30,10,31
27,55,.329,30,8-8,14-37,9,32,18,23
15,67,.183,49,4-12,11-41,7,34,8,33
14,68,.171,50,2-14,10-41,7,33,7,35
