W,L,PCT,GB,HOME,AWAY,DIV,CONF
64,18,.780,-,37-4,27-14,15-2,41-11
50,32,.610,14,27-14,23-18,12-5,35-17
49,33,.598,15,31-11,18-22,10-7,34-18
48,34,.585,16,26-15,22-19,11-5,31-21
47,35,.573,17,29-12,18-23,9-7,32-20
47,35,.573,17,26-15,21-20,11-6,32-20
47,35,.573,17,25-16,22-19,8-8,31-21
46,36,.561,18,22-19,24-17,13-3,32-20
39,43,.476,25,20-21,19-22,7-9,22-29
36,46,.439,28,21-20,15-26,8-8,22-30
32,50,.390,32,20-21,12-29,5-11,24-28
25,57,.305,39,14-27,11-30,1-15,18-34
21,61,.256,43,11-30,10-31,6-10,14-38
15,67,.183,49,7-34,8-33,4-12,11-41
14,68,.171,50,7-33,7-35,2-14,10-41
57,25,.695,-,33-8,24-17,12-4,36-16
57,25,.695,-,33-8,24-17,10-6,33-19
56,26,.683,1,30-11,26-15,12-4,37-15
51,31,.622,6,25-16,26-15,9-7,30-22
50,32,.610,7,25-16,25-16,11-5,31-21
49,33,.598,8,25-16,24-17,9-9,29-23
47,35,.573,10,28-14,19-21,7-10,27-25
49,33,.598,8,21-19,28-14,9-7,30-22
46,36,.561,11,24-17,22-19,10-7,30-22
46,36,.561,11,21-20,25-16,7-9,26-26
41,41,.500,16,27-14,14-27,9-7,28-24
31,51,.378,26,21-20,10-31,5-11,16-36
27,55,.329,30,9-32,18-23,8-8,14-37
22,60,.268,35,12-29,10-31,3-13,14-37
21,61,.256,36,11-30,10-31,1-15,8-44
