Timestamp;CO; NO ; NO2; NOX;PM10;PM2.5; Wind speed; Wind dir; Temp; Rel hum; Pressure; Rain
2019-10-16 00:00:00;1.6;104.0;41.0;144.0;63;22;0.2;197.0;27.4;79.0;759.0;0.0
2019-10-16 01:00:00;1.46;85.0;40.0;125.0;75;30;0.1;152.0;27.5;77.0;759.0;0.0
2019-10-16 02:00:00;1.03;51.0;35.0;86.0;70;25;0.2;97.0;27.6;75.0;759.0;0.0
2019-10-16 03:00:00;0.92;61.0;31.0;91.0;60;18;0.1;157.0;27.4;76.0;758.0;0.0
2019-10-16 04:00:00;1.07;77.0;32.0;109.0;72;22;0.2;185.0;27.1;78.0;758.0;0.0
2019-10-16 05:00:00;1.19;84.0;33.0;117.0;79;24;0.1;177.0;27.0;78.0;758.0;0.0
2019-10-16 06:00:00;1.64;131.0;34.0;162.0;78;22;0.2;198.0;27.0;78.0;758.0;0.0
2019-10-16 07:00:00;1.95;148.0;34.0;180.0;107;41;0.2;183.0;26.9;79.0;759.0;0.0
2019-10-16 08:00:00;1.95;129.0;40.0;163.0;108;38;0.1;121.0;27.7;75.0;759.0;0.0
2019-10-16 09:00:00;1.39;100.0;42.0;135.0;77;34;0.2;119.0;29.0;68.0;760.0;0.0
2019-10-16 10:00:00;1.39;121.0;48.0;164.0;60;24;0.2;144.0;30.5;61.0;760.0;0.0
2019-10-16 11:00:00;0.81;54.0;32.0;81.0;53;21;0.3;97.0;31.8;56.0;760.0;0.0
2019-10-16 12:00:00;0.5;21.0;16.0;35.0;39;15;0.9;80.0;32.4;53.0;759.0;0.0
2019-10-16 13:00:00;0.45;5.0;11.0;15.0;25;13;1.1;82.0;33.0;50.0;758.0;0.0
2019-10-16 14:00:00;0.54;17.0;13.0;28.0;22;9;1.0;84.0;33.2;50.0;758.0;0.0
2019-10-16 15:00:00;0.64;30.0;22.0;51.0;28;8;0.7;88.0;34.2;48.0;757.0;0.0
2019-10-16 16:00:00;0.55;10.0;11.0;19.0;30;11;0.8;85.0;34.4;46.0;756.0;0.0
2019-10-16 17:00:00;0.82;53.0;31.0;79.0;24;8;0.4;86.0;34.3;47.0;756.0;0.0
2019-10-16 18:00:00;0.57;6.0;15.0;21.0;32;9;0.5;86.0;32.5;51.0;757.0;0.0
2019-10-16 19:00:00;;;;;20;9;0.5;81.0;31.6;55.0;757.0;0.0
2019-10-16 20:00:00;0.8;13.0;29.0;39.0;30;12;0.3;85.0;31.4;56.0;758.0;0.0
2019-10-16 21:00:00;1.01;25.0;39.0;64.0;32;13;0.3;89.0;31.1;57.0;758.0;0.0
2019-10-16 22:00:00;1.19;69.0;42.0;105.0;43;17;0.2;101.0;31.0;58.0;759.0;0.0
2019-10-16 23:00:00;1.34;111.0;43.0;145.0;52;23;0.2;126.0;30.7;60.0;759.0;0.0
2019-10-17 00:00:00;1.55;132.0;42.0;170.0;50;21;0.2;171.0;30.4;63.0;759.0;0.0
2019-10-17 01:00:00;1.15;63.0;37.0;100.0;73;30;0.2;182.0;29.9;64.0;759.0;0.0
2019-10-17 02:00:00;1.04;51.0;34.0;85.0;64;30;0.2;192.0;29.4;66.0;758.0;0.0
2019-10-17 03:00:00;0.88;49.0;35.0;84.0;69;26;0.2;181.0;28.8;68.0;758.0;0.0
2019-10-17 04:00:00;0.69;51.0;31.0;82.0;59;23;0.2;189.0;28.4;68.0;758.0;0.0
2019-10-17 05:00:00;0.91;88.0;29.0;116.0;57;22;0.2;185.0;27.9;70.0;758.0;0.0
2019-10-17 06:00:00;1.16;123.0;32.0;153.0;74;21;0.2;180.0;27.5;72.0;758.0;0.0
2019-10-17 07:00:00;1.35;145.0;38.0;180.0;89;26;0.2;182.0;27.4;73.0;759.0;0.0
2019-10-17 08:00:00;1.59;153.0;38.0;181.0;80;33;0.3;203.0;28.2;69.0;759.0;0.0
2019-10-17 09:00:00;1.36;148.0;48.0;181.0;72;28;0.2;175.0;29.4;63.0;760.0;0.0
2019-10-17 10:00:00;1.17;121.0;47.0;164.0;60;18;0.2;131.0;30.5;59.0;760.0;0.0
2019-10-17 11:00:00;0.65;76.0;37.0;109.0;82;28;0.4;96.0;31.7;54.0;760.0;0.0
2019-10-17 12:00:00;0.43;29.0;18.0;45.0;64;24;0.9;81.0;32.6;49.0;759.0;0.0
