Timestamp;CO; NO ; NO2; NOX;PM10;PM2.5; Wind speed; Wind dir; Temp; Rel hum; Pressure; Rain
2019-08-01 01:00:00;0.49;28.0;14.0;42.0;35;22;0.8;251.0;26.9;67.0;756.0;0.0
2019-08-01 02:00:00;0.47;16.0;12.0;29.0;28;19;0.6;265.0;27.2;63.0;755.0;0.0
2019-08-01 03:00:00;0.3;12.0;12.0;24.0;20;13;0.6;255.0;27.3;61.0;755.0;0.0
2019-08-01 04:00:00;0.0;11.0;12.0;23.0;20;14;0.6;259.0;27.3;60.0;755.0;0.0
2019-08-01 05:00:00;0.2;32.0;16.0;48.0;22;16;0.1;309.0;27.3;61.0;754.0;0.0
2019-08-01 06:00:00;0.36;38.0;16.0;54.0;33;18;0.1;310.0;27.2;63.0;755.0;0.0
2019-08-01 07:00:00;0.44;44.0;16.0;60.0;34;22;0.1;302.0;27.5;61.0;755.0;0.0
2019-08-01 08:00:00;0.33;29.0;13.0;43.0;41;25;0.4;268.0;28.5;62.0;755.0;0.0
2019-08-01 09:00:00;0.24;18.0;12.0;29.0;28;24;1.0;263.0;29.4;59.0;756.0;0.0
2019-08-01 10:00:00;0.25;14.0;13.0;27.0;21;18;2.0;260.0;29.9;55.0;756.0;0.0
2019-08-01 11:00:00;0.25;9.0;14.0;23.0;34;25;1.5;266.0;29.6;57.0;756.0;0.0
2019-08-01 12:00:00;0.27;8.0;13.0;20.0;28;23;0.2;292.0;29.7;60.0;756.0;0.0
2019-08-01 13:00:00;0.3;6.0;13.0;19.0;32;19;1.2;257.0;27.9;72.0;755.0;8.6
2019-08-01 14:00:00;0.47;14.0;18.0;32.0;28;21;0.7;256.0;26.7;83.0;755.0;0.0
2019-08-01 15:00:00;0.34;12.0;18.0;30.0;24;18;1.8;254.0;29.7;60.0;754.0;0.0
2019-08-01 16:00:00;0.33;10.0;16.0;26.0;31;20;1.5;250.0;30.4;53.0;754.0;0.0
2019-08-01 17:00:00;0.46;15.0;17.0;32.0;27;18;1.0;241.0;30.4;53.0;754.0;0.0
2019-08-01 18:00:00;0.27;14.0;16.0;30.0;21;16;1.2;236.0;29.6;50.0;754.0;0.0
2019-08-01 19:00:00;0.38;15.0;16.0;30.0;21;18;1.4;241.0;28.6;53.0;754.0;0.0
2019-08-01 20:00:00;;;;;25;12;1.1;242.0;28.2;54.0;755.0;0.0
2019-08-01 21:00:00;0.0;30.0;19.0;49.0;23;19;0.9;242.0;28.2;55.0;755.0;0.0
2019-08-01 22:00:00;0.12;58.0;22.0;79.0;25;18;0.6;238.0;28.2;57.0;756.0;0.0
2019-08-01 23:00:00;0.25;70.0;22.0;89.0;45;24;0.5;239.0;28.1;57.0;756.0;0.0
2019-08-02 00:00:00;0.0;44.0;17.0;61.0;45;27;0.8;235.0;27.8;58.0;756.0;0.0
2019-08-02 01:00:00;0.4;26.0;12.0;37.0;39;28;1.2;238.0;27.3;61.0;756.0;0.0
2019-08-02 02:00:00;0.41;17.0;10.0;26.0;23;15;1.0;242.0;26.9;64.0;755.0;0.0
2019-08-02 03:00:00;0.45;12.0;9.0;20.0;16;12;0.6;228.0;26.5;65.0;755.0;0.0
2019-08-02 04:00:00;0.52;11.0;10.0;21.0;13;10;0.7;242.0;26.2;67.0;755.0;0.0
2019-08-02 05:00:00;0.54;10.0;11.0;21.0;16;12;0.6;253.0;26.2;67.0;754.0;0.0
2019-08-02 06:00:00;0.8;21.0;14.0;34.0;19;14;0.2;290.0;26.3;67.0;754.0;0.0
2019-08-02 07:00:00;1.06;38.0;15.0;53.0;33;23;0.3;276.0;26.8;65.0;755.0;0.0
2019-08-02 08:00:00;1.03;32.0;14.0;46.0;42;30;1.1;260.0;27.8;61.0;755.0;0.0
2019-08-02 09:00:00;1.04;31.0;14.0;45.0;30;18;2.2;253.0;28.0;62.0;756.0;0.0
2019-08-02 10:00:00;0.98;24.0;12.0;36.0;31;23;1.7;255.0;27.7;67.0;756.0;0.0
2019-08-02 11:00:00;0.97;22.0;13.0;35.0;19;12;1.6;251.0;29.0;61.0;756.0;0.0
2019-08-02 12:00:00;1.01;19.0;15.0;34.0;25;19;1.3;236.0;30.5;55.0;755.0;0.0
2019-08-02 13:00:00;0.88;15.0;15.0;29.0;21;16;1.7;244.0;31.6;49.0;755.0;0.0
2019-08-02 14:00:00;0.95;15.0;18.0;32.0;17;16;0.8;229.0;31.9;47.0;754.0;0.0
2019-08-02 15:00:00;0.96;15.0;16.0;32.0;18;15;1.5;247.0;32.4;44.0;754.0;0.0
2019-08-02 16:00:00;1.0;15.0;17.0;31.0;17;10;1.6;241.0;32.6;41.0;754.0;0.0
2019-08-02 17:00:00;1.03;11.0;15.0;25.0;26;15;2.4;251.0;31.5;46.0;754.0;0.0
2019-08-02 18:00:00;1.09;11.0;14.0;25.0;17;14;2.0;253.0;31.0;47.0;754.0;0.0
2019-08-02 19:00:00;;;;;17;13;1.9;248.0;30.7;48.0;754.0;0.0
2019-08-02 20:00:00;1.16;18.0;16.0;34.0;24;14;1.4;256.0;30.3;50.0;755.0;0.0
2019-08-02 21:00:00;1.14;18.0;15.0;33.0;27;19;1.4;257.0;29.7;54.0;755.0;0.0
2019-08-02 22:00:00;0.13;20.0;14.0;33.0;23;19;1.8;251.0;29.4;56.0;755.0;0.0
2019-08-02 23:00:00;0.32;23.0;14.0;36.0;30;23;1.3;254.0;29.1;58.0;756.0;0.0
2019-08-03 00:00:00;0.21;19.0;12.0;31.0;31;19;1.2;256.0;28.9;58.0;756.0;0.0
2019-08-03 01:00:00;0.37;13.0;10.0;24.0;29;19;1.1;259.0;28.7;59.0;755.0;0.0
2019-08-03 02:00:00;0.33;8.0;9.0;17.0;26;19;1.1;258.0;28.5;61.0;755.0;0.0
2019-08-03 03:00:00;0.36;7.0;10.0;17.0;18;16;1.3;256.0;28.4;63.0;755.0;0.0
2019-08-03 04:00:00;0.36;6.0;8.0;14.0;23;15;1.4;253.0;28.2;64.0;755.0;0.0
2019-08-03 05:00:00;0.42;8.0;8.0;16.0;21;16;1.5;251.0;27.9;66.0;755.0;0.0
2019-08-03 06:00:00;0.52;11.0;10.0;22.0;25;19;1.4;259.0;27.4;67.0;755.0;0.0
2019-08-03 07:00:00;0.68;15.0;10.0;25.0;26;17;1.6;254.0;26.9;70.0;755.0;0.0
2019-08-03 08:00:00;0.95;21.0;11.0;32.0;27;18;1.5;245.0;27.3;68.0;755.0;0.0
2019-08-03 09:00:00;1.06;23.0;11.0;33.0;24;15;1.2;241.0;28.1;65.0;756.0;0.0
2019-08-03 10:00:00;1.11;23.0;12.0;34.0;24;16;1.5;245.0;29.0;60.0;756.0;0.0
2019-08-03 11:00:00;1.08;22.0;13.0;35.0;23;18;1.3;242.0;29.8;57.0;756.0;0.0
2019-08-03 12:00:00;1.09;15.0;13.0;28.0;20;19;2.0;251.0;30.7;54.0;756.0;0.0
2019-08-03 13:00:00;1.11;9.0;13.0;22.0;17;14;1.6;249.0;31.1;51.0;755.0;0.0
2019-08-03 14:00:00;1.13;10.0;13.0;23.0;23;15;1.1;241.0;31.3;48.0;754.0;0.0
2019-08-03 15:00:00;1.2;11.0;13.0;24.0;22;14;2.0;247.0;31.4;49.0;754.0;0.0
2019-08-03 16:00:00;0.61;11.0;13.0;24.0;18;14;1.7;247.0;30.9;53.0;754.0;0.0
2019-08-03 17:00:00;0.4;12.0;18.0;30.0;18;16;1.0;242.0;31.5;52.0;753.0;0.0
2019-08-03 18:00:00;;;;;27;19;1.2;243.0;30.8;54.0;753.0;0.0
2019-08-03 19:00:00;1.14;15.0;15.0;29.0;27;19;1.6;250.0;30.0;55.0;754.0;0.0
2019-08-03 20:00:00;1.24;19.0;16.0;35.0;23;15;1.0;249.0;29.6;57.0;754.0;0.0
2019-08-03 21:00:00;1.23;21.0;14.0;35.0;26;17;1.3;253.0;29.3;56.0;754.0;0.0
