epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0657,2.02992,2.4817,1.32747,0.03023,0.57739,0.19904,0.07988,2.25754,2.97854,1.2769,0.000546086,0.000546086,0.000546086
2,40.5138,1.72288,1.39745,1.20115,0.51764,0.40633,0.42685,0.19878,1.71313,2.65016,1.16697,0.0010963,0.0010963,0.0010963
3,58.4338,1.59582,1.25164,1.15974,0.52602,0.48102,0.47367,0.25647,1.61436,1.54628,1.18347,0.00164101,0.00164101,0.00164101
4,76.0438,1.58294,1.20922,1.1556,0.45424,0.49566,0.43705,0.24251,1.55165,2.99785,1.14224,0.00164225,0.00164225,0.00164225
5,93.6244,1.53427,1.15824,1.13762,0.5059,0.48217,0.50342,0.27569,1.58884,1.67499,1.15753,0.00163399,0.00163399,0.00163399
6,111.858,1.51798,1.11807,1.12059,0.60937,0.56059,0.58679,0.33256,1.50415,1.42302,1.12872,0.00162574,0.00162574,0.00162574
7,129.409,1.4765,1.07867,1.10592,0.62628,0.55771,0.58702,0.33633,1.44899,1.44167,1.09805,0.00161749,0.00161749,0.00161749
8,147.263,1.43299,1.04315,1.09683,0.60533,0.54599,0.59141,0.34091,1.39241,1.24346,1.07418,0.00160924,0.00160924,0.00160924
9,165.182,1.40673,1.00569,1.0856,0.64461,0.62799,0.64615,0.38285,1.34868,1.0706,1.0554,0.00160099,0.00160099,0.00160099
10,183.528,1.39003,0.98423,1.0745,0.67674,0.59515,0.64546,0.39291,1.29734,1.91584,1.04957,0.00159274,0.00159274,0.00159274
11,201.577,1.37993,0.95954,1.06847,0.66035,0.59187,0.64786,0.38802,1.30057,1.04407,1.04393,0.00158448,0.00158448,0.00158448
12,219.095,1.34581,0.93355,1.05754,0.63956,0.59064,0.62631,0.37449,1.30457,1.21561,1.05468,0.00157623,0.00157623,0.00157623
13,236.635,1.327,0.93267,1.05342,0.66506,0.66232,0.66965,0.42311,1.19993,1.04282,1.00096,0.00156798,0.00156798,0.00156798
14,254.359,1.31881,0.91409,1.05054,0.6645,0.55791,0.60728,0.37972,1.27322,1.70408,1.0436,0.00155973,0.00155973,0.00155973
15,271.931,1.31483,0.89907,1.0401,0.64968,0.66571,0.69239,0.41595,1.2954,0.98392,1.02408,0.00155148,0.00155148,0.00155148
16,289.621,1.29465,0.89361,1.04171,0.64578,0.63108,0.65847,0.42052,1.21549,1.02933,1.02143,0.00154323,0.00154323,0.00154323
