epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8525,1.9472,2.10131,1.45564,0.66601,0.52767,0.54569,0.36585,1.53632,2.0294,1.1903,0.00327273,0.00327273,0.00327273
2,22.2605,1.49441,1.24528,1.15442,0.78388,0.53939,0.6544,0.43669,1.37144,1.54794,1.11006,0.00659952,0.00659952,0.00659952
3,32.5055,1.44262,1.10065,1.10491,0.78751,0.60184,0.70241,0.47741,1.25031,1.04275,1.05876,0.00991971,0.00991971,0.00991971
4,42.8714,1.40977,1.02048,1.08988,0.82493,0.6152,0.7271,0.50107,1.2187,0.94698,1.04425,0.0099703,0.0099703,0.0099703
5,53.03,1.34004,0.95226,1.05997,0.79328,0.68383,0.76852,0.53753,1.14371,0.86703,1.00895,0.0099604,0.0099604,0.0099604
6,63.0931,1.32678,0.88541,1.04761,0.78416,0.66612,0.77541,0.54161,1.13416,0.80936,1.01086,0.0099505,0.0099505,0.0099505
7,73.1542,1.26937,0.86292,1.03342,0.82614,0.6709,0.78078,0.53706,1.16145,0.85041,1.01383,0.0099406,0.0099406,0.0099406
8,83.1333,1.25703,0.8404,1.01994,0.83562,0.70974,0.80503,0.55125,1.0761,0.79497,0.99168,0.0099307,0.0099307,0.0099307
9,93.1625,1.21317,0.81553,1.01214,0.80328,0.73556,0.8011,0.56279,1.06165,0.75903,0.98359,0.0099208,0.0099208,0.0099208
10,103.461,1.20808,0.77903,1.00303,0.84322,0.69488,0.79486,0.54845,1.05494,0.73912,0.98784,0.0099109,0.0099109,0.0099109
11,113.667,1.16267,0.77155,0.99419,0.84831,0.74195,0.81135,0.57635,1.04196,0.75515,0.98088,0.009901,0.009901,0.009901
12,124.026,1.1489,0.7511,0.98536,0.84133,0.66533,0.77171,0.545,1.02831,0.74343,0.9919,0.0098911,0.0098911,0.0098911
13,134.193,1.13769,0.74951,0.98588,0.85671,0.6878,0.79023,0.56373,0.99569,0.69685,0.96478,0.0098812,0.0098812,0.0098812
14,144.339,1.13448,0.7431,0.9775,0.88434,0.69689,0.81182,0.59139,0.98058,0.71682,0.95866,0.0098713,0.0098713,0.0098713
15,154.823,1.10349,0.72597,0.97556,0.85321,0.71655,0.82052,0.59032,0.99058,0.70023,0.95747,0.0098614,0.0098614,0.0098614
16,164.889,1.08724,0.71121,0.96812,0.85854,0.71665,0.8176,0.58198,0.94757,0.67829,0.95145,0.0098515,0.0098515,0.0098515
17,175.146,1.07138,0.70303,0.96731,0.81297,0.7345,0.8117,0.58921,0.94339,0.67588,0.9482,0.0098416,0.0098416,0.0098416
18,185.354,1.0665,0.7053,0.96046,0.85076,0.71669,0.81109,0.58885,0.95625,0.69311,0.95834,0.0098317,0.0098317,0.0098317
19,195.525,1.05479,0.70451,0.9562,0.88349,0.68533,0.80365,0.57626,0.94181,0.68505,0.95414,0.0098218,0.0098218,0.0098218
20,205.706,1.0515,0.68838,0.95475,0.84607,0.7125,0.81372,0.58618,0.91947,0.66267,0.94407,0.0098119,0.0098119,0.0098119
