epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50835,2.13258,3.48709,1.4486,0.02468,0.20001,0.07707,0.02873,2.57687,3.28955,1.70906,0.00038583,0.00038583,0.00038583
2,18.2489,1.87774,1.80106,1.22489,0.53292,0.4193,0.27915,0.13531,1.92783,2.09953,1.27497,0.00078206,0.00078206,0.00078206
3,26.1459,1.69934,1.30837,1.18193,0.78389,0.32252,0.35811,0.20845,1.61718,1.57459,1.18109,0.00117433,0.00117433,0.00117433
4,33.8644,1.57299,1.18504,1.14227,0.73916,0.27325,0.31088,0.16927,1.65043,1.44211,1.19676,0.00140778,0.00140778,0.00140778
5,41.5699,1.54741,1.14481,1.13245,0.76835,0.31336,0.3491,0.18784,1.48446,1.40887,1.17375,0.00140071,0.00140071,0.00140071
6,49.326,1.50085,1.09152,1.11316,0.7846,0.34127,0.37892,0.21283,1.47123,1.19602,1.12366,0.00139363,0.00139363,0.00139363
7,56.9738,1.45941,1.07004,1.09816,0.80901,0.38437,0.42745,0.25829,1.35312,1.09369,1.08941,0.00138656,0.00138656,0.00138656
8,64.5028,1.42935,1.0294,1.08323,0.78958,0.32407,0.37602,0.20935,1.50708,1.17856,1.16884,0.00137949,0.00137949,0.00137949
9,72.0818,1.42218,1.01762,1.08084,0.81602,0.37905,0.43392,0.25062,1.39353,1.06906,1.09452,0.00137241,0.00137241,0.00137241
10,79.6998,1.3885,0.98562,1.06818,0.45136,0.36546,0.40377,0.2482,1.31028,1.06565,1.07857,0.00136534,0.00136534,0.00136534
11,87.2816,1.37193,0.97448,1.06416,0.47915,0.40161,0.44569,0.26599,1.33064,0.99511,1.05971,0.00135826,0.00135826,0.00135826
12,94.8582,1.35441,0.95427,1.05921,0.85332,0.40258,0.46133,0.27794,1.27443,0.95856,1.05451,0.00135119,0.00135119,0.00135119
13,102.523,1.33676,0.9334,1.04826,0.49793,0.3918,0.44642,0.26354,1.2455,0.94793,1.03746,0.00134412,0.00134412,0.00134412
14,110.027,1.32517,0.93126,1.04039,0.8437,0.40209,0.44538,0.27279,1.2461,0.95639,1.03859,0.00133704,0.00133704,0.00133704
15,117.652,1.31577,0.92555,1.04036,0.51154,0.40554,0.47011,0.29159,1.27473,0.93766,1.04639,0.00132997,0.00132997,0.00132997
16,125.353,1.30758,0.91821,1.04188,0.80814,0.38614,0.44604,0.275,1.26618,0.95993,1.05307,0.0013229,0.0013229,0.0013229
17,132.951,1.27698,0.8834,1.02607,0.85762,0.41664,0.47825,0.30234,1.22125,0.88402,1.03294,0.00131582,0.00131582,0.00131582
18,140.594,1.28717,0.89153,1.03107,0.83553,0.39468,0.44741,0.29109,1.20232,0.9012,1.02722,0.00130875,0.00130875,0.00130875
19,148.321,1.25902,0.87475,1.02386,0.8119,0.38873,0.43134,0.26951,1.22565,0.93533,1.04042,0.00130168,0.00130168,0.00130168
20,156.093,1.24823,0.8627,1.01895,0.81835,0.42356,0.46718,0.28638,1.20324,0.87493,1.02897,0.0012946,0.0012946,0.0012946
21,163.703,1.24238,0.85875,1.01864,0.48898,0.41799,0.46478,0.28424,1.19483,0.91811,1.03027,0.00128753,0.00128753,0.00128753
22,171.273,1.25184,0.85656,1.01644,0.8219,0.4344,0.46617,0.29202,1.19195,0.90293,1.03755,0.00128046,0.00128046,0.00128046
23,178.811,1.21481,0.83661,1.00929,0.87146,0.40972,0.48155,0.31523,1.14312,0.84791,1.00209,0.00127338,0.00127338,0.00127338
24,186.389,1.22752,0.83819,1.00745,0.85281,0.3928,0.45699,0.29109,1.18165,0.90713,1.03731,0.00126631,0.00126631,0.00126631
25,193.938,1.19631,0.82273,1.00262,0.84553,0.41446,0.45529,0.29165,1.17736,0.87363,1.02622,0.00125923,0.00125923,0.00125923
26,201.581,1.22378,0.83484,1.00944,0.85805,0.39743,0.46291,0.29413,1.13893,0.86984,1.00707,0.00125216,0.00125216,0.00125216
27,209.331,1.19125,0.81936,0.99952,0.81935,0.40328,0.45606,0.29005,1.14844,0.91916,1.0088,0.00124509,0.00124509,0.00124509
28,217.016,1.17853,0.81009,0.99732,0.88409,0.41829,0.49484,0.31122,1.11604,0.81804,1.00007,0.00123801,0.00123801,0.00123801
29,224.655,1.18034,0.80688,0.99287,0.85832,0.4193,0.47663,0.30824,1.11905,0.8239,1.0095,0.00123094,0.00123094,0.00123094
30,232.177,1.17408,0.80501,0.99456,0.85447,0.42274,0.46916,0.29737,1.13536,0.82123,1.01139,0.00122387,0.00122387,0.00122387
31,239.709,1.16075,0.79939,0.99505,0.85902,0.40171,0.48357,0.29883,1.11811,0.81241,1.00086,0.00121679,0.00121679,0.00121679
32,247.338,1.16616,0.797,0.99224,0.85032,0.41848,0.48387,0.30767,1.09494,0.79542,0.99768,0.00120972,0.00120972,0.00120972
33,254.989,1.14942,0.78788,0.98579,0.89142,0.36525,0.45097,0.27807,1.17065,0.83595,1.01272,0.00120265,0.00120265,0.00120265
34,262.604,1.1417,0.78407,0.98435,0.82192,0.38765,0.43103,0.26456,1.18439,0.84858,1.03085,0.00119557,0.00119557,0.00119557
35,270.3,1.15015,0.78003,0.98335,0.87236,0.42925,0.48304,0.30473,1.11418,0.81407,1.00285,0.0011885,0.0011885,0.0011885
36,277.923,1.14114,0.77695,0.98237,0.82081,0.44939,0.48379,0.30794,1.13556,0.81783,1.00597,0.00118143,0.00118143,0.00118143
37,285.703,1.143,0.77257,0.98124,0.84152,0.45297,0.50452,0.32851,1.09175,0.78912,0.99478,0.00117435,0.00117435,0.00117435
38,293.376,1.13093,0.76527,0.98156,0.86938,0.42013,0.48018,0.32219,1.07387,0.78626,0.98195,0.00116728,0.00116728,0.00116728
39,300.926,1.13276,0.75746,0.97778,0.87154,0.41454,0.48258,0.31221,1.09898,0.78328,0.99179,0.00116021,0.00116021,0.00116021
40,308.627,1.14366,0.7703,0.98299,0.88431,0.42298,0.49359,0.32823,1.06801,0.77046,0.98074,0.00115313,0.00115313,0.00115313
