Applicant_ID,Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
5009092,M      ,1,1,1,765000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,0,0,Managers                                          ,3,34,4,2,2,0
5009524,M      ,1,0,1,112500,Working                                           ,Secondary / secondary special                     ,Separated                                         ,Co-op apartment                                   ,1,1,0,0,Laborers                                          ,2,33,4,14,6,0
5010494,F      ,1,0,2,270000,State servant                                     ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Secretaries                                       ,4,38,13,6,6,0
5021430,F      ,0,1,0,126000,Commercial associate                              ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,1,52,7,9,5,0
5021431,F      ,0,1,0,126000,Commercial associate                              ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,1,52,7,9,5,0
5021646,F      ,0,1,0,292500,Working                                           ,Higher education                                  ,Civil marriage                                    ,House / apartment                                 ,1,0,0,1,Managers                                          ,2,35,15,3,3,0
5024039,F      ,0,0,0,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,2,43,2,7,1,0
5024249,F      ,0,1,1,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Laborers                                          ,3,39,2,12,10,0
5024332,F      ,0,0,0,427500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,2,58,17,5,4,0
5025127,M      ,0,1,0,292500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,High skill tech staff                             ,2,31,10,18,3,0
5025192,F      ,0,0,1,112500,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,With parents                                      ,1,0,0,0,Laborers                                          ,3,36,8,3,3,0
5028478,M      ,0,1,0,148500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Laborers                                          ,2,24,4,3,3,0
5028580,M      ,0,0,0,540000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,55,2,4,3,0
5029028,F      ,0,1,0,90000,Working                                           ,Lower secondary                                   ,Single / not married                              ,Rented apartment                                  ,1,0,0,0,Cleaning staff                                    ,2,33,14,15,1,0
5033453,F      ,0,0,0,135000,Working                                           ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Laborers                                          ,1,30,7,8,1,0
5033514,F      ,1,0,1,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,0,Sales staff                                       ,3,44,2,11,11,0
5033778,M      ,0,1,0,225000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,2,56,9,2,2,0
5033886,M      ,0,1,0,135000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Low-skill Laborers                                ,2,25,2,6,4,0
5033909,F      ,0,1,2,148500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Sales staff                                       ,4,34,3,5,2,0
5036405,F      ,1,1,0,112500,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Cooking staff                                     ,2,38,4,1,1,0
5036590,M      ,1,1,0,292500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,58,3,11,3,0
5038807,M      ,1,1,0,202500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Laborers                                          ,2,35,15,22,21,0
5041175,F      ,0,1,1,180000,Working                                           ,Incomplete higher                                 ,Married                                           ,Municipal apartment                               ,1,1,1,0,Core staff                                        ,3,30,1,19,18,0
