OwnCar,OwnProperty,ChildrenCount,TotalIncome,IncomeType,EducationType,FamilyStatus,HousingType,FamilyMembers,Target,AccountLength,Age,Unemployed,YearsEmployed
1,1,0,427500.0,3.0,3.0,3.0,3.0,2,1,15,32.86859611668694,0,12.43558213760867
1,1,0,112500.0,3.0,1.0,4.0,5.0,2,0,29,58.79385531109832,0,3.104788671080632
0,1,0,270000.0,2.0,1.0,0.0,5.0,1,0,4,52.3214387163588,0,8.353359996002652
0,1,0,283500.0,1.0,3.0,1.0,5.0,1,0,20,61.50438510331157,1,0.0
1,1,0,270000.0,3.0,3.0,4.0,5.0,2,0,5,46.19399864062824,0,2.10545192950706
1,1,0,135000.0,2.0,1.0,4.0,5.0,2,0,17,48.67454408683552,0,3.269063203942041
1,0,0,130500.0,3.0,2.0,4.0,5.0,2,1,25,29.210749851639562,0,3.019913495768904
0,1,0,157500.0,3.0,1.0,4.0,5.0,2,1,31,27.463963985546577,0,4.021988146223499
0,1,1,112500.0,3.0,1.0,0.0,5.0,2,0,44,30.029384607065584,0,4.4354123872580455
1,1,3,270000.0,3.0,1.0,4.0,5.0,5,0,24,34.741325791307,0,3.184188028630313
0,1,1,405000.0,2.0,3.0,4.0,5.0,3,0,39,32.42231696908011,0,5.5196243041433455
1,1,0,112500.0,2.0,1.0,4.0,5.0,2,0,43,56.13260787874349,0,12.183694520554509
1,1,2,135000.0,3.0,1.0,4.0,5.0,4,0,39,43.152181873811145,0,8.687384879487517
0,1,1,211500.0,4.0,1.0,3.0,5.0,3,0,24,44.38697877915274,0,19.43641514638572
1,1,0,360000.0,2.0,1.0,4.0,5.0,2,1,10,45.640941046661496,0,14.686143237809974
0,1,2,126000.0,2.0,3.0,4.0,5.0,4,0,21,33.980187122382475,0,4.854312446054639
0,1,0,315000.0,1.0,1.0,2.0,5.0,1,0,40,55.26742867234007,1,0.0
0,1,0,247500.0,2.0,3.0,1.0,3.0,1,0,11,46.58825751949562,0,3.6879632627386343
0,1,0,297000.0,2.0,1.0,0.0,3.0,1,0,7,42.48960792460346,0,8.85439732122995
0,0,0,157500.0,2.0,3.0,4.0,5.0,2,1,43,37.350552954922385,0,13.267906437439809
0,1,0,135000.0,3.0,1.0,4.0,5.0,2,0,12,42.393781113767645,0,3.854975704481067
0,1,1,225000.0,3.0,1.0,4.0,5.0,3,0,45,28.257957561043387,0,7.688048137913946
1,1,0,135000.0,3.0,1.0,4.0,5.0,2,0,4,48.69370944900268,0,4.687300004312206
0,1,0,157500.0,3.0,1.0,4.0,5.0,2,1,15,43.88046563616339,0,2.4340009952298782
0,1,0,112500.0,1.0,1.0,4.0,5.0,2,0,49,61.10738831556316,1,0.0
1,1,0,112500.0,4.0,1.0,4.0,5.0,2,0,10,57.15110998248423,0,6.518961045716917
1,1,0,270000.0,3.0,1.0,1.0,5.0,1,0,30,45.40000506513143,0,3.269063203942041
1,1,0,270000.0,3.0,3.0,4.0,5.0,2,0,4,29.098495587517597,0,2.2669885534874457
1,1,0,157500.0,3.0,1.0,4.0,5.0,2,0,22,27.179221461920136,0,2.2669885534874457
0,1,0,166500.0,3.0,1.0,4.0,5.0,2,0,40,51.817663482250474,0,17.183116137303394
0,1,2,216000.0,4.0,3.0,4.0,5.0,4,0,24,42.2842647585267,0,8.520372437745085
1,1,0,270000.0,2.0,1.0,4.0,5.0,2,0,21,54.37760828600744,0,29.687145996937648
1,1,0,225000.0,2.0,1.0,4.0,5.0,2,1,17,39.56278333078936,0,7.603172962602218
0,1,0,315000.0,3.0,1.0,0.0,5.0,1,0,13,28.895890330321862,0,3.269063203942041
0,0,0,255150.0,1.0,2.0,3.0,3.0,2,0,16,51.14961371528074,1,0.0
0,1,2,157500.0,3.0,1.0,0.0,5.0,3,0,8,39.223282629542446,0,1.5195394289680342
0,1,0,148500.0,3.0,3.0,4.0,5.0,2,0,20,48.2994505701353,0,2.4340009952298782
0,1,2,202500.0,3.0,3.0,4.0,5.0,4,0,34,30.108783964615263,0,6.267073428662757
0,1,0,202500.0,3.0,1.0,0.0,5.0,1,0,24,24.2606105947491,0,2.4340009952298782
